selling_price,city,house_age,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,floors,scenic_views
280000,Auburn,23,6,3,2400,9373,0,2,0
487000,Seattle,9,4,2.5,2540,5001,0,2,0
465000,Seattle,0,3,2.25,1530,1245,480,2,0
411000,Seattle,7,2,2,1130,1148,330,2,0
570000,Bellevue,16,3,2.5,1530,3296,0,2,0
546000,Bellevue,16,3,2.5,1530,3464,0,2,0
617000,Bellevue,16,3,2.5,1910,4488,0,2,0
635000,Kirkland,9,3,2.5,3350,4007,800,2,0
872750,Redmond,24,3,2.5,2870,13695,0,2,0
843000,Redmond,24,3,2.5,3130,8750,0,2,0
837700,Redmond,20,5,2.75,3010,12611,0,2,0
715000,Redmond,20,3,3.25,3060,9055,600,2,0
795000,Redmond,20,3,3.5,3190,10223,630,2,0
835000,Redmond,21,4,2.75,3130,13412,990,2,0
755000,Redmond,21,4,2.5,2660,10452,0,2,0
640000,Redmond,17,4,2.5,2341,9594,0,2,0
750000,Redmond,17,4,2.5,3020,13122,480,2,0
738000,Redmond,19,3,2.5,2620,9112,0,2,0
810000,Redmond,18,4,2.75,3010,10450,0,2,0
380000,Seattle,2,5,2.5,2130,8428,0,2,0
499950,Seattle,14,4,2.5,2910,20067,0,2,0
600000,Seattle,2,5,4.5,4440,9784,0,2,0
398950,Kent,11,4,3,3000,10297,0,2,0
363000,Kent,11,4,2.5,2180,9281,0,2,0
495000,Seattle,2,3,3.5,1650,1577,550,2,0
311850,Kent,1,4,2.5,1890,4158,0,2,0
287000,Kent,4,4,2.5,2660,4082,0,2,0
324900,Kent,26,4,2.25,2010,7280,0,2,0
359950,Renton,15,3,2.5,1980,7800,0,2,0
333000,Renton,6,4,2,2750,9001,0,1,0
800000,Bellevue,7,4,2.5,2930,5000,170,2,0
959900,Sammamish,10,4,3.75,3550,15151,0,2,0
945000,Sammamish,12,5,3.5,4380,14925,0,2,0
765000,Sammamish,10,4,4,3010,7221,0,2,0
750000,Sammamish,9,4,2.5,3210,8938,0,2,0
759000,Sammamish,10,5,2.75,3490,8230,0,2,0
730000,Sammamish,10,4,2.5,3230,7331,0,2,0
720000,Sammamish,11,4,4,3200,7708,0,2,0
802500,Sammamish,9,4,3.75,3320,8030,0,2,0
885000,Sammamish,9,4,2.5,4090,11225,0,2,0
889000,Sammamish,11,4,3.5,4070,10976,0,2,0
785500,Sammamish,7,4,4,3280,8448,0,2,0
797000,Sammamish,7,3,3.5,3500,9473,0,2,0
790000,Sammamish,8,4,3.5,3560,6098,0,2,0
745000,Sammamish,8,4,3.25,3490,7024,0,2,0
852500,Sammamish,9,5,3.75,3830,8131,0,2,0
815000,Sammamish,9,4,2.5,3880,7208,0,2,0
355000,Renton,4,3,2.25,1430,4777,0,2,0
333000,Renton,5,3,2.5,1520,3041,0,2,0
330000,Renton,5,3,2.5,1520,3003,0,2,0
263000,Federal Way,23,3,2.25,1590,7748,0,2,0
276200,Federal Way,28,3,2.5,1480,7210,300,1,0
268000,Federal Way,28,3,2.5,1850,6676,0,2,0
270000,Federal Way,27,4,2.5,1750,6397,0,2,0
260000,Federal Way,25,4,2.5,1990,6671,0,2,0
275000,Federal Way,25,3,2.5,1870,6821,0,2,0
282000,Federal Way,25,4,2.75,2390,7330,0,2,0
299000,Federal Way,21,3,2.5,2450,7062,0,2,0
278500,Federal Way,24,4,2.5,1940,6206,0,2,0
304400,Federal Way,24,4,2.75,2140,8100,0,2,0
273000,Federal Way,24,4,3,1990,6180,0,2,0
310000,Federal Way,25,4,2.75,2370,7320,0,2,0
456500,Seattle,6,4,3.5,2000,2309,0,3,0
270000,Federal Way,28,3,2,2330,8000,940,1,0
300000,Duvall,13,3,2.25,1660,5128,0,2,0
345000,Duvall,13,3,2.5,1620,5992,0,2,0
397900,Kent,15,3,2.75,2500,35245,920,1,0
392000,Kent,26,4,2.5,2300,41167,0,2,0
464950,Seattle,21,3,2,2190,19800,0,1,0
425000,Seattle,26,4,2.5,1920,9000,0,2,0
335000,Seattle,21,3,1.75,1260,17000,0,1,0
535000,Seattle,0,4,2.75,2360,15100,0,1,0
440000,Renton,16,3,2,1860,217800,0,2,2
625000,Renton,7,4,3.25,2730,54014,1170,1,0
356000,Snoqualmie,23,2,1,1430,365904,420,1,0
700000,Seattle,7,4,2.5,3040,7200,0,2,0
262000,Auburn,12,4,2.5,2020,6236,0,2,0
355000,Seattle,0,5,2.5,2540,5100,0,2,0
593000,Seattle,21,2,2.5,2000,2500,190,3,1
600000,Seattle,3,2,2.5,1830,1988,300,2,0
945000,Seattle,10,2,2.5,2540,7089,0,2,0
856000,Seattle,1,3,2.5,2160,3920,0,2,0
330000,Kent,11,4,2.5,2105,6093,0,2,0
495000,Seattle,11,4,2.5,2140,7245,0,2,0
700000,Seattle,8,4,3.25,2780,7875,0,2,0
327000,Seattle,5,3,3,1370,1001,0,3,0
290500,Seattle,12,4,2.5,1680,3000,0,2,0
445000,Seattle,6,4,3.25,3450,5000,0,2,0
525000,North Bend,16,3,2.75,2100,10362,590,2,0
335000,North Bend,30,3,1.5,1140,15890,300,1,0
319900,North Bend,29,3,1.5,1140,20383,300,1,0
309950,North Bend,29,3,1.5,1200,15606,0,1,0
330000,North Bend,29,3,1.75,1510,15744,0,1,0
269900,North Bend,29,3,1.75,1140,22267,0,1,0
559900,Woodinville,10,3,2.75,2930,5569,1070,1,0
770000,Kirkland,7,5,2.5,3000,7912,1390,1,0
595000,Redmond,30,4,2.25,2050,8372,0,2,0
552321,Redmond,30,3,2.5,1960,8469,0,2,0
672000,Redmond,22,3,2.5,2620,21587,0,2,0
475000,Redmond,20,5,2.5,2300,28480,0,2,0
485000,Redmond,23,3,2.25,2440,47916,350,2,0
740000,Redmond,16,4,3.5,3760,57063,810,2,0
